
2024/11/03 (13:05:01) | ===> btop++ v.1.4.0
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/03 (13:05:01) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/11/03 (13:05:03) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)

2024/11/03 (13:05:07) | ===> btop++ v.1.4.0
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/03 (13:05:07) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/11/03 (13:05:09) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : vector::_M_range_check: __n (which is 0) >= this->size() (which is 0)

2024/11/03 (13:05:18) | ===> btop++ v.1.4.0
2024/11/03 (13:05:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/03 (13:05:18) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/03 (13:05:18) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/03 (13:05:18) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/03 (13:05:18) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/03 (13:05:18) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/03 (13:05:18) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
